"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 14:44:45 EEST 2024","Thu Oct 24 14:45:53 EEST 2024","67676","","org.example.MainTest","","org.example.MainTest","testSearchForJavaBooksAndCheckHeadFirstJava","testSearchForJavaBooksAndCheckHeadFirstJava()",""
"passed","Thu Oct 24 14:45:53 EEST 2024","Thu Oct 24 14:45:53 EEST 2024","0","","org.example.MainTest","","org.example.MainTest","testCorrectAlways","testCorrectAlways()",""
